동,연도,월,전체,남자,여자,아동전체,아동남자,아동여자,청소년전체,청소년남자,청소년여자,청년전체,청년남자,청년여자
공릉1동,2025,1,35452.0,17115.0,18337.0,3024.0,1560.0,1464.0,5768.0,2735.0,3033.0,9609.0,4690.0,4919.0
공릉1동,2025,2,35556.0,17163.0,18393.0,3009.0,1548.0,1461.0,5922.0,2821.0,3101.0,9664.0,4726.0,4938.0
공릉1동,2025,3,35590.0,17165.0,18425.0,2997.0,1536.0,1461.0,5944.0,2813.0,3131.0,9699.0,4739.0,4960.0
공릉1동,2025,4,35536.0,17141.0,18395.0,2997.0,1543.0,1454.0,5899.0,2792.0,3107.0,9660.0,4720.0,4940.0
공릉1동,2025,5,35431.0,17082.0,18349.0,2985.0,1540.0,1445.0,5836.0,2761.0,3075.0,9616.0,4702.0,4914.0
공릉1동,2025,6,35430.0,17082.0,18348.0,2962.0,1531.0,1431.0,5795.0,2742.0,3053.0,9618.0,4697.0,4921.0
공릉1동,2025,7,35408.0,17046.0,18362.0,2951.0,1526.0,1425.0,5752.0,2714.0,3038.0,9574.0,4663.0,4911.0
공릉1동,2025,8,35323.0,17010.0,18313.0,2937.0,1517.0,1420.0,5736.0,2701.0,3035.0,9518.0,4645.0,4873.0
공릉1동,2025,9,35360.0,17018.0,18342.0,2927.0,1512.0,1415.0,5708.0,2688.0,3020.0,9515.0,4634.0,4881.0
공릉1동,2025,10,35332.0,17009.0,18323.0,2903.0,1491.0,1412.0,5647.0,2667.0,2980.0,9480.0,4621.0,4859.0
공릉1동,2025,11,35293.0,16992.0,18301.0,2898.0,1489.0,1409.0,5594.0,2645.0,2949.0,9453.0,4618.0,4835.0
공릉1동,2025,12,35191.0,16956.0,18235.0,2878.0,1475.0,1403.0,5560.0,2633.0,2927.0,9455.0,4643.0,4812.0
공릉2동,2023,1,41728.0,20369.0,21359.0,6320.0,3276.0,3044.0,8393.0,4158.0,4235.0,10206.0,5064.0,5142.0
공릉2동,2023,2,41817.0,20406.0,21411.0,6308.0,3258.0,3050.0,8522.0,4222.0,4300.0,10240.0,5081.0,5159.0
공릉2동,2023,3,41817.0,20387.0,21430.0,6268.0,3239.0,3029.0,8541.0,4222.0,4319.0,10296.0,5096.0,5200.0
공릉2동,2023,4,41777.0,20349.0,21428.0,6262.0,3233.0,3029.0,8504.0,4192.0,4312.0,10269.0,5071.0,5198.0
공릉2동,2023,5,41781.0,20340.0,21441.0,6258.0,3238.0,3020.0,8489.0,4181.0,4308.0,10282.0,5081.0,5201.0
공릉2동,2023,6,41702.0,20278.0,21424.0,6230.0,3225.0,3005.0,8432.0,4151.0,4281.0,10247.0,5037.0,5210.0
공릉2동,2023,7,41599.0,20237.0,21362.0,6187.0,3203.0,2984.0,8386.0,4137.0,4249.0,10214.0,5039.0,5175.0
공릉2동,2023,8,41564.0,20220.0,21344.0,6156.0,3184.0,2972.0,8416.0,4131.0,4285.0,10239.0,5041.0,5198.0
공릉2동,2023,9,41616.0,20231.0,21385.0,6147.0,3184.0,2963.0,8411.0,4113.0,4298.0,10276.0,5039.0,5237.0
공릉2동,2023,10,41668.0,20242.0,21426.0,6130.0,3177.0,2953.0,8399.0,4107.0,4292.0,10278.0,5022.0,5256.0
공릉2동,2023,11,41555.0,20195.0,21360.0,6100.0,3162.0,2938.0,8358.0,4084.0,4274.0,10237.0,5007.0,5230.0
공릉2동,2023,12,41466.0,20181.0,21285.0,6067.0,3155.0,2912.0,8313.0,4070.0,4243.0,10189.0,4998.0,5191.0
공릉2동,2024,1,41336.0,20118.0,21218.0,6030.0,3135.0,2895.0,8222.0,4015.0,4207.0,10069.0,4942.0,5127.0
공릉2동,2024,2,41504.0,20198.0,21306.0,6013.0,3125.0,2888.0,8449.0,4131.0,4318.0,10146.0,4985.0,5161.0
공릉2동,2024,3,41443.0,20126.0,21317.0,5979.0,3106.0,2873.0,8471.0,4100.0,4371.0,10183.0,4964.0,5219.0
공릉2동,2024,4,41446.0,20109.0,21337.0,5970.0,3105.0,2865.0,8467.0,4087.0,4380.0,10168.0,4952.0,5216.0
공릉2동,2024,5,41448.0,20091.0,21357.0,5962.0,3095.0,2867.0,8416.0,4046.0,4370.0,10153.0,4940.0,5213.0
공릉2동,2024,6,41428.0,20087.0,21341.0,5951.0,3093.0,2858.0,8385.0,4045.0,4340.0,10168.0,4953.0,5215.0
공릉2동,2024,7,41423.0,20059.0,21364.0,5937.0,3091.0,2846.0,8341.0,4017.0,4324.0,10152.0,4928.0,5224.0
공릉2동,2024,8,41402.0,20068.0,21334.0,5907.0,3073.0,2834.0,8350.0,4031.0,4319.0,10162.0,4955.0,5207.0
공릉2동,2024,9,41376.0,20052.0,21324.0,5882.0,3046.0,2836.0,8372.0,4041.0,4331.0,10178.0,4964.0,5214.0
공릉2동,2024,10,41303.0,20014.0,21289.0,5860.0,3031.0,2829.0,8321.0,4025.0,4296.0,10160.0,4940.0,5220.0
공릉2동,2024,11,41317.0,20041.0,21276.0,5867.0,3044.0,2823.0,8317.0,4020.0,4297.0,10165.0,4950.0,5215.0
공릉2동,2024,12,41322.0,20046.0,21276.0,5854.0,3033.0,2821.0,8277.0,4003.0,4274.0,10182.0,4954.0,5228.0
공릉2동,2025,1,41250.0,20014.0,21236.0,5822.0,3024.0,2798.0,8220.0,3987.0,4233.0,10119.0,4929.0,5190.0
공릉2동,2025,2,41247.0,20020.0,21227.0,5780.0,2994.0,2786.0,8332.0,4071.0,4261.0,10122.0,4977.0,5145.0
공릉2동,2025,3,41159.0,19962.0,21197.0,5737.0,2968.0,2769.0,8301.0,4052.0,4249.0,10097.0,4963.0,5134.0
공릉2동,2025,4,41064.0,19906.0,21158.0,5721.0,2953.0,2768.0,8261.0,4025.0,4236.0,10060.0,4933.0,5127.0
공릉2동,2025,5,41061.0,19892.0,21169.0,5698.0,2938.0,2760.0,8250.0,4010.0,4240.0,10056.0,4934.0,5122.0
공릉2동,2025,6,41012.0,19855.0,21157.0,5663.0,2918.0,2745.0,8220.0,3977.0,4243.0,10047.0,4913.0,5134.0
공릉2동,2025,7,40923.0,19819.0,21104.0,5641.0,2911.0,2730.0,8160.0,3957.0,4203.0,10026.0,4914.0,5112.0
공릉2동,2025,8,40898.0,19789.0,21109.0,5625.0,2900.0,2725.0,8154.0,3956.0,4198.0,10046.0,4913.0,5133.0
공릉2동,2025,9,40845.0,19746.0,21099.0,5604.0,2884.0,2720.0,8120.0,3928.0,4192.0,10058.0,4900.0,5158.0
공릉2동,2025,10,40818.0,19740.0,21078.0,5579.0,2878.0,2701.0,8079.0,3897.0,4182.0,10056.0,4889.0,5167.0
공릉2동,2025,11,40765.0,19709.0,21056.0,5553.0,2850.0,2703.0,8027.0,3856.0,4171.0,10040.0,4884.0,5156.0
공릉2동,2025,12,40695.0,19682.0,21013.0,5525.0,2829.0,2696.0,7983.0,3851.0,4132.0,10026.0,4890.0,5136.0
하계1동,2023,1,26234.0,12526.0,13708.0,2966.0,1603.0,1363.0,5494.0,2955.0,2539.0,6453.0,3415.0,3038.0
하계1동,2023,2,26568.0,12727.0,13841.0,2948.0,1597.0,1351.0,5880.0,3187.0,2693.0,6638.0,3520.0,3118.0
